Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,4,Win,64.5,49,0,0,0,0,49,2000,1000,2000,1000,0,0,0,0.00,50620,0,0,0,8260,41,423,0.01,50620,98,0,327.9,1000,0.10,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter","Frost:2|Shatter:1",0,2000,50000
2,Mix,6,Win,66.3,30,0,0,19,0,49,2000,900,2000,0,930,0,900,0.00,112116,0,0,0,17760,64,385,0.36,112116,250,0,972.8,1000,0.15,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost","Frost:4|Shatter:1",1,40516,80000
3,Mix,8,Win,62.4,39,25,0,10,0,74,1850,0,1690,0,160,0,160,0.00,87830,0,0,0,21660,80,463,0.07,87830,265,0,1605.6,1000,0.15,0.50,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide","Frost:5|Shatter:1|Wide:1",1,4940,82500
4,Mix,10,Win,86.5,40,12,4,10,0,66,1840,0,1150,0,690,0,690,0.36,131972,0,0,6253,27260,100,1676,0.03,138225,199,21,2224.8,1000,0.15,0.60,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,2,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide>Chain>Chain","Frost:5|Shatter:1|Wide:1|Chain:2",1,4578,131760
5,Mix,12,Win,75.8,50,20,1,10,0,81,1150,1000,960,0,1210,0,1190,0.11,200765,0,0,4444,30420,95,1042,0.43,205210,201,9,1693.2,1000,0.15,0.60,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,3,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide>Chain>Chain>Shatter>Shatter","Frost:5|Shatter:3|Wide:1|Chain:2",1,91751,128700
6,B,15,Win,88.2,70,30,4,25,0,129,960,1000,790,0,1220,0,1170,0.21,202210,58664,0,11900,58883,250,3548,0.09,272774,287,46,5686.9,1000,0.15,0.60,Supply,ShieldFull,护盾重启,0,0,0.0,0.0,0.0,0.0,4,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide>Chain>Chain>Shatter>Shatter>Prism>Prism>Wide","Frost:5|Shatter:3|Wide:2|Chain:2|Prism:2",1,24365,258300
7,B,18,Win,82.3,100,40,4,32,0,176,790,1000,140,0,1660,0,1650,0.16,268660,98935,0,16423,82649,327,4749,0.12,384018,371,54,7871.3,1000,0.15,0.70,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,5,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide>Chain>Chain>Shatter>Shatter>Prism>Prism>Wide>Wide>Shatter>Wide","Frost:5|Shatter:4|Wide:4|Chain:2|Prism:2",1,42996,354000
8,B,18,Loss,29.3,0,15,0,0,0,15,290,0,0,0,100,300,290,0.00,161,5355,0,161,1120,8,108,0.07,5677,21,5,303.0,1000,0.15,0.90,None,None,None,0,0,0.0,0.0,0.0,0.0,5,0,2,300,0,3.0,Charge,0.95,1,1,2,1,"Frost>Frost>Shatter>Frost>Frost>Frost>Wide>Chain>Chain>Shatter>Shatter>Prism>Prism>Wide>Wide>Shatter>Wide","Frost:5|Shatter:4|Wide:4|Chain:2|Prism:2",0,1925,0
