Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,4,Win,61.3,49,0,0,0,0,49,2000,1000,2000,1000,0,0,0,0.00,52435,0,0,0,9780,40,337,0.05,52435,0,0,0.0,1000,0.10,0.50,Deal,HealthLoss→CritRatePercent,生命值-80|激光暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact","Focus:2|Impact:1",0,2430,50000
2,Mix,6,Win,69.3,30,0,0,19,0,49,1920,1000,1920,1000,0,0,0,0.00,86365,0,0,0,18390,54,394,0.07,86365,0,0,0.0,1500,0.14,0.50,Deal,HealthLoss→BaseDamagePercent,生命值-80|激光攻击力+12%,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus","Focus:3|Impact:2",1,6000,80000
3,Mix,8,Win,53.7,39,25,0,10,0,74,1840,1000,1840,1000,0,0,0,0.00,92974,0,0,0,23136,56,331,0.10,92974,0,0,0.0,1920,0.14,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus>Focus>Focus","Focus:5|Impact:2",0,5737,82500
4,A,10,Win,67.4,40,12,4,10,0,66,1690,1000,1690,1000,0,0,0,0.35,139521,0,0,0,36759,77,428,0.05,139521,0,0,0.0,2500,0.14,0.50,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus>Focus>Focus>Impact>Crit","Focus:5|Impact:3|Crit:1",0,6240,131760
5,A,12,Win,78.0,50,20,1,10,0,81,1540,1000,1540,550,450,0,450,0.14,145385,0,0,0,43890,82,367,0.12,145385,0,0,0.0,2500,0.15,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus>Focus>Focus>Impact>Crit>Crit>Impact","Focus:5|Impact:4|Crit:2",1,11372,128700
6,A,15,Win,79.7,70,30,4,25,0,129,1540,450,1540,370,80,0,80,0.20,286438,0,0,0,122609,240,638,0.09,286438,0,0,0.0,2650,0.20,0.50,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus>Focus>Focus>Impact>Crit>Crit>Impact>Impact>Crit>Crit","Focus:5|Impact:5|Crit:4",1,13657,258300
7,A,18,Win,84.3,100,40,4,32,0,176,1540,270,1540,0,280,0,270,0.14,421830,0,0,0,193579,389,749,0.16,421830,0,0,0.0,2650,0.35,0.50,Supply,HealthRestore,生命值+250,0,0,0.0,0.0,0.0,0.0,1,0,6,0,0,0.0,None,1.00,0,0,0,0,"Focus>Focus>Impact>Impact>Focus>Focus>Focus>Impact>Crit>Crit>Impact>Impact>Crit>Crit>Crit>Power>Power","Focus:5|Impact:5|Crit:5|Power:2",1,44208,354000
8,A,18,Win,93.9,0,40,0,0,0,40,1790,0,870,0,20,900,920,0.00,23881,0,0,0,9819,17,43,0.33,23881,0,0,0.0,2900,0.35,0.50,None,None,None,0,0,0.0,0.0,0.0,0.0,1,0,6,900,0,10.9,Charge,0.00,4,7,5,6,"Focus>Focus>Impact>Impact>Focus>Focus>Focus>Impact>Crit>Crit>Impact>Impact>Crit>Crit>Crit>Power>Power","Focus:5|Impact:5|Crit:5|Power:2",1,4204,0
