Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,6,Win,49.6,0,0,0,0,0,16,2000,1000,2000,100,900,900,0,900,0.00,58725,0,0,1960,8965,44,870,0.03,60685,96,0,791.0,1000,0.10,0.50,Gacha,BaseDamageFlat,攻击力+150,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Chain>Impact>FrostSpread>Crit","Frost:1|Chain:1|Impact:1|FrostSpread:1|Crit:1",0,2540,12000,1222.9,30,638,320,0.00,0,0,0,0,0,16,Chapter02_01,0,1.00,0,16,0,0,0,0,16,0,0,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,C,10,Win,49.2,0,0,0,0,0,17,2000,100,1940,0,180,100,0,160,0.00,140899,0,0,4451,25017,68,976,0.29,145350,120,0,1274.0,1150,0.13,0.65,Gacha,BaseDamagePercent,攻击力+10%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Chain>Impact>FrostSpread>Crit>Wide>Shatter>Power>Wide","Frost:1|Chain:1|Impact:1|FrostSpread:1|Crit:1|Wide:2|Shatter:1|Power:1",1,42031,40500,2954.2,6,706,355,0.00,0,0,0,0,0,17,Chapter02_01,0,1.00,0,14,0,3,0,0,14,0,3,0,0,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,C,13,Win,54.2,0,0,0,0,0,21,1940,0,1910,0,30,0,0,30,0.00,101562,0,240,4506,21214,44,763,0.10,106308,96,0,830.0,1495,0.13,0.80,Gacha,CritRatePercent,暴击率+3%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Chain>Impact>FrostSpread>Crit>Wide>Shatter>Power>Wide>Impact>Impact>FrostSpread","Frost:1|Chain:1|Impact:3|FrostSpread:2|Crit:1|Wide:2|Shatter:1|Power:1",1,7296,35589,1959.7,1,644,311,0.00,0,0,0,0,0,21,Chapter02_01,0,1.00,7,12,0,2,0,7,12,0,2,0,7,7,0,12,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4,C,16,Win,65.7,0,0,0,0,0,26,1910,0,1760,0,150,0,0,150,0.00,151998,0,240,7102,39005,90,1187,0.09,159341,137,0,1787.0,1495,0.16,0.80,Gacha_Coin,CoinReward,金币+100,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Chain>Impact>FrostSpread>Crit>Wide>Shatter>Power>Wide>Impact>Impact>FrostSpread>Reflex>Wide>Reflex","Frost:1|Chain:1|Impact:3|FrostSpread:2|Crit:1|Wide:3|Shatter:1|Power:1|Reflex:2",1,7424,52140,2424.8,5,970,457,0.00,0,0,0,0,0,26,Chapter02_01,0,1.00,4,18,1,3,0,4,18,1,3,0,4,4,0,18,54,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
5,C,18,Loss,27.0,0,0,0,0,0,29,1760,0,0,0,1775,0,0,1760,0.00,76915,0,1440,3697,21142,48,636,0.07,82051,121,0,1037.0,1495,0.16,0.95,None,None,None,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Frost>Chain>Impact>FrostSpread>Crit>Wide>Shatter>Power>Wide>Impact>Impact>FrostSpread>Reflex>Wide>Reflex>Shatter>Power","Frost:1|Chain:1|Impact:3|FrostSpread:2|Crit:1|Wide:3|Shatter:2|Power:2|Reflex:2",0,6776,45979,3044.2,46,777,402,2.83,0,0,0,0,0,53,Chapter02_01,0,1.00,4,25,0,0,0,9,42,2,0,0,4,4,360,18,54,65,360,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
