Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,5,Win,46.0,0,0,0,0,0,25,2000,1000,2000,1000,0,0,0,0,0.00,26786,0,0,806,3880,16,301,0.06,27592,0,0,0.0,1000,0.10,0.50,Gacha,LaserLengthPercent,激光长度+3%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Power>Chain>Power>Wide","Power:2|Chain:1|Wide:1",0,2100,25000,599.7,0,480,125,0.00,0,0,0,0,0,25,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,8,Win,34.4,0,0,0,0,0,18,2000,1000,2000,1000,0,0,0,0,0.00,39950,0,0,2361,5296,15,459,0.02,42311,0,0,0.0,1700,0.10,0.65,Gacha,LaserWidthPercent,激光宽度+10%,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,None,1.00,0,0,0,0,"Power>Chain>Power>Wide>Focus>Crit>Focus","Power:2|Chain:1|Wide:1|Focus:2|Crit:1",0,2527,39000,1230.3,0,460,150,0.00,0,0,0,0,0,18,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,Mix,10,Win,33.5,0,0,0,0,0,18,2000,1000,2000,1000,0,0,0,0,0.00,34809,0,0,1323,10978,19,208,0.08,36132,0,0,0.0,2200,0.13,0.68,Gacha_Epic,LaserLengthPercent,激光长度+5%,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0,0.0,None,1.00,0,0,0,0,"Power>Chain>Power>Wide>Focus>Crit>Focus>Focus>Reflex","Power:2|Chain:1|Wide:1|Focus:3|Crit:1|Reflex:1",0,4847,31920,1079.4,0,404,122,0.00,0,0,0,0,0,18,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,0,0,0,0,12,2,4,0,0,0,0,0,0,0,4.0,5,0,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0
4,Mix,13,Win,46.3,0,0,0,0,0,40,2000,1000,2000,1000,0,0,0,0,0.00,71209,0,0,2304,17423,40,488,0.09,73512,0,0,0.0,2200,0.13,0.80,Gacha,BaseDamageFlat,攻击力+150,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0.0,None,1.00,0,0,0,0,"Power>Chain>Power>Wide>Focus>Crit>Focus>Focus>Reflex>Wide>Reflex>Wide","Power:2|Chain:1|Wide:3|Focus:3|Crit:1|Reflex:2",0,4901,43780,1589.2,0,638,167,0.00,0,0,0,0,0,19,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,3,1,0,0,0,12,3,3,1,0,0,0,3,0,0,3.0,0,0,3,3,21,0,2,0,0.0,0,0,0,0,0,0,0
5,Mix,16,Win,50.3,0,0,0,0,0,95,2000,1000,2000,1000,0,0,0,0,0.00,122118,0,0,1698,31109,47,516,0.17,123816,0,0,0.0,2530,0.13,0.95,Gacha,LaserLengthPercent,激光长度+3%,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0,None,1.00,0,0,0,0,"Power>Chain>Power>Wide>Focus>Crit>Focus>Focus>Reflex>Wide>Reflex>Wide>Power>Wide>Crit","Power:3|Chain:1|Wide:4|Focus:3|Crit:2|Reflex:2",1,14417,56120,2462.0,0,903,201,0.00,0,0,0,0,0,50,Chapter03_01,0,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,8,2,0,0,0,40,0,8,2,0,0,0,5,0,0,8.0,15,5,5,5,45,14,4,0,0.0,0,0,0,0,0,0,0
6,Mix,16,Win,223.9,0,0,0,0,0,164,2000,1000,1150,0,0,500,1500,1850,0.00,210962,0,0,3338,64451,108,814,0.15,214300,0,0,0.0,2760,0.16,1.10,None,None,None,0,0,0.0,0.0,0.0,0.0,0,5,0,1500,0,0.0,Stun,0.00,9,0,10,16,"Power>Chain>Power>Wide>Focus>Crit>Focus>Focus>Reflex>Wide>Reflex>Wide>Power>Wide>Crit","Power:3|Chain:1|Wide:4|Focus:3|Crit:2|Reflex:2",2,6711,0,957.2,6,0,212,0.00,0,0,0,0,0,0,Chapter03_01,650282,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,150,0,5,7,11.8,0,0,10,9,6,7,0
