Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Shield_Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP,Effective_DPS,Player_Hit_Count,Exp_Gained,Gold_Gained,Time_In_Danger,Spawn_Slime,Spawn_Rusher,Spawn_Tank,Spawn_Drifter,Spawn_Elite,Spawn_Total,Wave_Config_Id,Boss_Dmg_Dealt,Wave_Diff_Mult,Kill_LavaExploder,Kill_LavaSplitter,Kill_LavaGunner,Kill_LavaTank,Kill_LavaElite,Spawn_LavaExploder,Spawn_LavaSplitter,Spawn_LavaGunner,Spawn_LavaTank,Spawn_LavaElite,Spawn_LavaPuddle,Exploder_Death_Count,Exploder_AoE_Dmg_To_Player,Splitter_Death_Count,Splitter_Children_Spawned,Gunner_Bullet_Dmg_To_Player,Dmg_From_Mob_Explosion,Boss_Absorption_Count,Boss_Heal_Total,Gunner_Shots_Fired,Boss_Fireball_Hit_Count,Boss_Fireball_Burst_Count,Boss_Fireball_Intercepted_Count,Puddle_Peak_Count,Kill_FrostSlime,Kill_FrostTank,Kill_FrostCatalyst,Kill_Frostcaster,Kill_IceShieldGuard,Kill_FrostcasterElite,Kill_FrostGunner,Spawn_FrostSlime,Spawn_FrostTank,Spawn_FrostCatalyst,Spawn_Frostcaster,Spawn_IceShieldGuard,Spawn_FrostcasterElite,Spawn_FrostGunner,Spawn_IceWall,IceShield_Broken_Count,IceShield_Dmg_Absorbed,Catalyst_Burst_Count,Catalyst_Burst_Affected_Count,IceWall_Accelerated_Count,Frostcaster_Cast_Count,Frostcaster_Walls_Per_Cast_Total,IceWall_Hatch_Count,Monster_Berserk_Applied_Count,IceWall_Peak_Count,Tower_Freeze_Count,Tower_Freeze_Duration,IceSpike_Intercepted_Count,IceSpike_Hit_Count,Glacial_IceWall_Build_Count,Glacial_FreezeRay_Count,Glacial_Charge_Count,Glacial_AbsZero_Count,Glacial_AbsZero_Interrupted
1,Mix,6,Win,49.6,0,0,0,0,0,16,2000,1000,2000,600,400,400,0,400,0.00,71330,0,0,0,13740,53,445,0.05,71330,80,0,400.0,1000,0.10,0.50,Deal,HealthLoss→CritRatePercent,血量-80|暴击率+4%,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Shatter>Shatter>Shatter","Frost:1|Shatter:4",0,2920,12000,1436.9,13,649,305,0.00,0,0,0,0,0,16,Chapter02_01,0,1.00,0,16,0,0,0,0,16,0,0,0,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,Mix,10,Win,44.7,0,0,0,0,0,17,1920,600,1920,600,0,0,0,0,0.00,73800,0,118000,0,21400,43,234,0.16,191800,66,0,487.5,1000,0.14,0.50,Deal,HealthLoss→BaseDamageFlat,血量-150|攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Shatter>Shatter>Shatter>Shatter>Frost>FrostSpread>Frost","Frost:3|Shatter:5|FrostSpread:1",0,18300,40500,4289.3,0,706,355,0.00,0,0,0,0,0,17,Chapter02_01,0,1.00,0,14,0,3,0,0,14,0,3,0,0,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,Mix,13,Win,50.2,0,0,0,0,0,21,1770,600,1770,600,0,0,0,0,0.00,69420,0,145600,0,15860,21,175,0.24,215020,66,0,872.5,1300,0.14,0.50,Deal,HealthLoss→BaseDamageFlat,血量-150|攻击力+300,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Shatter>Shatter>Shatter>Shatter>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread","Frost:4|Shatter:5|FrostSpread:3",0,18460,35589,4284.8,0,688,311,0.00,0,0,0,0,0,21,Chapter02_01,0,1.00,7,12,0,2,0,7,12,0,2,0,7,7,0,12,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4,Mix,16,Win,49.5,0,0,0,0,0,26,1620,600,1620,600,0,0,0,0,0.00,110080,0,256000,0,25280,27,222,0.28,366080,82,0,1717.5,1600,0.14,0.50,Deal,ShieldLoss→BaseDamagePercent,护盾-100|攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,0,4,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Shatter>Shatter>Shatter>Shatter>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>FrostSpread","Frost:5|Shatter:5|FrostSpread:5",0,26720,52140,7389.1,0,948,457,0.00,0,0,0,0,0,26,Chapter02_01,0,1.00,4,18,1,3,0,4,18,1,3,0,4,4,0,18,54,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
5,Mix,20,Win,47.5,0,0,0,0,0,53,1620,500,1620,370,130,0,0,130,0.00,185067,0,793600,0,48907,39,352,0.36,978667,188,1,2727.5,1840,0.14,0.50,Deal,HealthLoss→BaseDamagePercent,血量-150|攻击力+18%,0,0,0.0,0.0,0.0,0.0,0,0,5,0,0,0.0,None,1.00,0,0,0,0,"Frost>Shatter>Shatter>Shatter>Shatter>Shatter>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>FrostSpread>Crit>Crit>Crit>Wide","Frost:5|Shatter:5|FrostSpread:5|Crit:3|Wide:1",1,89792,45979,20605.5,2,1963,887,0.00,0,0,0,0,0,53,Chapter02_01,0,1.00,9,42,2,0,0,9,42,2,0,0,9,9,0,42,126,130,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
6,Mix,20,Win,78.8,0,0,0,0,0,0,1470,370,55,0,0,0,2715,1785,0.00,18769,0,93632,0,8342,6,37,0.48,112401,40,17,486.3,2128,0.19,0.65,None,None,None,0,0,0.0,0.0,0.0,0.0,0,0,5,500,2215,5.9,Press,0.00,3,2,7,2,"Frost>Shatter>Shatter>Shatter>Shatter>Shatter>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>Frost>FrostSpread>FrostSpread>Crit>Crit>Crit>Wide","Frost:5|Shatter:5|FrostSpread:5|Crit:3|Wide:1",1,29090,0,1425.6,222,0,110,11.29,0,0,0,0,0,0,Chapter02_01,430303,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
