Wave,Build_Type,Player_Level,Result,Time_To_Clear,Kill_Slime,Kill_Rusher,Kill_Tank,Kill_Drifter,Kill_Elite,Kill_Total,HP_Start_Hull,HP_Start_Shield,HP_End_Hull,HP_End_Shield,Dmg_From_Mobs,Dmg_From_Boss,Player_HP_Lost,Tank_Absorbed_Ratio,Dmg_Main_Laser,Dmg_Sub_Laser,Dmg_Explosion,Dmg_Chain,Crit_Damage_Total,Crit_Hit_Count,Normal_Hit_Count,Overkill_Ratio,Dmg_Dealt_Total,Frost_Slow_Count,Frost_Freeze_Count,Frost_Slow_Duration,Panel_DPS,Panel_Crit_Rate,Panel_Laser_Width,Drone_Choice,Drone_Reward_Type,Drone_Reward_Value,Drone_Acc_Health,Drone_Acc_Shield,Drone_Acc_Damage_Pct,Drone_Acc_Crit_Pct,Drone_Acc_Laser_Width,Drone_Acc_Laser_Length,Drone_Count_Supply,Drone_Count_Gacha,Drone_Count_Deal,Boss_Dmg_Collision,Boss_Dmg_Bullet,Boss_Pushback_Time,Boss_Phase,Boss_HP_Remaining,Boss_Charge_Count,Boss_Press_Count,Boss_Summon_Count,Boss_Stun_Count,Skill_Path,Skill_Levels,Overload_Count,DPS_Peak,Enemy_Total_HP
1,Mix,2,Win,42.2,19,0,0,0,0,19,2000,1000,2000,1000,0,0,0,0.00,20200,0,0,0,3600,18,166,0.01,20200,0,0,0.0,1000,0.10,0.50,Gacha_Negative,NextWaveHealthBuff,下一波怪物血量+40%,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,None,1.00,0,0,0,0,"Crit","Crit:1",0,1100,20000
2,Mix,4,Win,58.9,20,0,0,4,0,24,2000,1000,2000,1000,0,0,0,0.00,33200,0,0,0,7200,36,260,0.02,33200,0,0,0.0,1000,0.15,0.50,Deal,HealthLoss→LaserWidthPercent,生命值-80|激光宽度+8%,0,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide","Crit:1|Impact:1|Wide:1",0,1300,32500
3,Mix,5,Win,54.5,18,0,0,7,0,25,1920,1000,1920,1000,0,0,0,0.00,38400,0,0,0,12600,50,229,0.01,38400,0,0,0.0,1000,0.15,0.64,Deal,HealthLoss→BaseDamageFlat,生命值-150|激光攻击力+300,0,0,0.0,0.0,0.0,0.0,0,1,2,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact","Crit:1|Impact:2|Wide:1",1,3200,38000
4,Mix,6,Win,34.3,20,4,0,0,0,24,1770,1000,1770,1000,0,0,0,0.00,26091,0,0,221,5460,21,191,0.07,26312,0,0,0.0,1300,0.15,0.64,Deal,HealthLoss→LaserLengthPercent,生命值-150|激光长度+15%,0,0,0.0,0.0,0.0,0.0,0,1,3,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact>Chain","Crit:1|Impact:2|Wide:1|Chain:1",0,1976,24200
5,Mix,6,Win,43.1,10,7,0,5,0,22,1620,1000,1620,1000,0,0,0,0.00,35373,0,0,1053,7800,26,318,0.05,36426,0,0,0.0,1300,0.15,0.64,Deal,ShieldLoss→CritRatePercent,护盾值-100|激光暴击率+5%,0,0,0.0,0.0,0.0,0.0,0,1,4,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact>Chain","Crit:1|Impact:2|Wide:1|Chain:1",1,2964,33360
6,Mix,7,Win,67.4,20,8,2,0,0,30,1620,900,1620,900,0,0,0,0.69,104143,0,0,3263,31200,109,1000,0.01,107406,0,0,0.0,1300,0.20,0.64,Deal,ShieldLoss→BaseDamagePercent,护盾值-100|激光攻击力+15%,0,0,0.0,0.0,0.0,0.0,0,1,5,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact>Chain>Impact","Crit:1|Impact:3|Wide:1|Chain:1",1,3900,102960
7,Mix,9,Win,61.7,34,6,5,0,0,45,1620,800,1620,300,500,0,500,0.50,109972,0,0,5023,30797,94,1057,0.04,114996,0,0,0.0,1495,0.20,0.64,Supply,HealthRestore,生命值+150,0,0,0.0,0.0,0.0,0.0,1,1,5,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact>Chain>Impact>Impact>Impact","Crit:1|Impact:5|Wide:1|Chain:1",1,4754,108360
8,A,10,Loss,38.3,28,0,0,10,0,38,1770,300,0,0,2100,0,2070,0.00,74812,0,0,1983,16458,51,468,0.25,76795,0,0,0.0,1495,0.20,0.64,None,None,None,0,0,0.0,0.0,0.0,0.0,1,1,5,0,0,0.0,None,1.00,0,0,0,0,"Crit>Impact>Wide>Impact>Chain>Impact>Impact>Impact>Focus","Crit:1|Impact:5|Wide:1|Chain:1|Focus:1",0,21493,127500
